Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"Go Motion",f8A,"Sent x",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
Grasswind,f7B+,"Sent x",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
"Special K",f7C,"Sent β",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
Rythmo,f7C+,"Sent x",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"The Bomb is Explosion",f8A,"Sent x",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Steppenwolf,f8B,"Sent x",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Jack's Broken Heart",f8A+,"Sent x",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Intermezzo Left",f8A,"Sent x",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"La Gran Evasion",f7C+,"Sent x",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Atlantis,f7C,"Sent β",,,04/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
Wanted,f7C+,"Sent β",,,01/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
"Fish Finger Kid",f7C+,"Sent x",,,01/Mar/25,"Howshaw Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Pitian Patian",f8A+,"Sent x",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Pit Traverse",f7C,"Sent x",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Harvey Oswald LH",f8A,"Sent x",,,18/Feb/25,"Milestone Buttress Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
