Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"Early Doors",f7A+,"Sent x",,,28/Sep/25,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Gorilla Warfare",f7A,"Sent x",,,28/Sep/25,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"In the Flick of Time Stand-start",f7B,"Sent x",,,27/Sep/25,"Burbage North","South Yorkshire","The Peak Area",England,1,Bouldering
"Art of Japan",f6C,"Sent x",,,25/Sep/25,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Art of Japan Sit-start",f7A+,"Sent x",,,25/Sep/25,"Curbar Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Roof 1",f6C,"Sent x",,,21/Sep/25,"Over Owler Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Spider Crack Sit-start",f7A+,"Sent x",,,21/Sep/25,"Over Owler Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Owler Single Ladies",f7A,"Sent x",,,21/Sep/25,"Over Owler Tor","South Yorkshire","The Peak Area",England,1,Bouldering
Detox,f7C,"Sent x",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"The Boar",f7A,"Sent x",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"Turkey Teeth",f6B+,"Sent O/S",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"The Frog",f5,"Sent β",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
Capsized,f7B+,"Sent x",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"Gom Jabbar",f6C+,"Sent x",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"The Vole",f4,"Sent x",,,19/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"Nutorious B.H.I.G",f7C,"Sent x",,,16/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"The Spear",f7A,"Sent x",,,15/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"King's View",f7A+,"Sent O/S",,,15/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
"Little Loaf",f5,"Sent O/S",,,15/Sep/25,"Gleann An Obain Bhig",Invernesshire,"Northern Scotland",Scotland,1,Bouldering
Chucklevision,f7C,"Sent x",,,09/Sep/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
Monster,f7C,"Sent x",,,09/Sep/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Last Stand",f7A,"Sent x",,,09/Sep/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
Alpha,f7B,"Sent x",,,09/Sep/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
35,f6C,"Sent β",,,30/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
38,f6B,"Sent x",,,30/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
19,f6B,"Sent β",,"",30/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"13 - Flèche Blanche",f6A,"Sent β",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"11 - Fantastique",f6B,"Sent β",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"06 - Wife of the year",f7A,"Sent β",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
01,f5,"Sent β",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"05 - Billy the kid",f7A,"Sent x",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
14,f6C,"Sent x",,,29/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"Show Business",f7A+,"Sent x",,,28/Aug/25,"Ailefroide Bouldering",Ailefroide,South-East,France,1,Bouldering
"Beau Mouvement sur Fond Bleu",7a+,"Lead RP",,,25/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
Berlin,7c,"Lead RP",,"",22/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Harley Davidson",6b+,"Lead β",,,16/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Saint George's Picos",7a,"Lead β",,,16/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
Katina,6a,"Lead β",,,15/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
Papyrus,6a+,"Lead β",,,15/Aug/25,Céüse,Hautes-Alpes,South-East,France,1,Sport
"Little Northumberland",V9,"Sent x",,,09/Aug/25,Nesscliffe,Shropshire,"The Peak Area",England,1,Bouldering
