Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"Peckitt's Traverse",f7C,"Sent x",,,19/May/25,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"The Only Way is A6",f7C+,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"A6 Girls",f7C,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Far From the Madding Crowd",f7C+,"Sent x",,,16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
"Mr Meeseeks",f7C,"Sent x",,"Second go",16/May/25,"Lees Bottom",Derbyshire,"The Peak Area",England,1,Bouldering
Elephantitus,V6,"Sent β",,,12/May/25,"Elephantitus Cave",Gwynedd,"North Wales",Wales,1,Bouldering
"The Tusk",V9,"Sent x",,,12/May/25,"Elephantitus Cave",Gwynedd,"North Wales",Wales,1,Bouldering
"Roof Of A Baby Buddha",V10,"Sent x",,,11/May/25,"Maes Newyddion Woods",Conwy,"North Wales",Wales,1,Bouldering
"The Edge Problem SDS",f7A,"Sent x",,,11/May/25,"Cromlech boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Buddha Belly Low",f7C,"Sent x",,,09/May/25,"Maes Newyddion Woods",Conwy,"North Wales",Wales,1,Bouldering
"Nazgul's Traverse",f7C,"Sent x",,,08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"White Rider",f7A+,"Sent β",,"After doing nazgul",08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Ride the Wild Smurf",f7A,"Sent β",,"After doing nazgul",08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
Moria,f7B,"Sent β",,,08/May/25,"Rhiw Goch Boulders",Conwy,"North Wales",Wales,1,Bouldering
"Lizard King Middle",V9,"Sent x",,,08/May/25,"Craig Y Llwyfan",Gwynedd,"North Wales",Wales,1,Bouldering
"Prisoners of the Sun",f7C,"Sent x",,,05/May/25,"Pac man boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Go Motion",f8A,"Sent x",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
"Special K",f7C,"Sent β",,,04/May/25,"Crafnant bouldering",Gwynedd,"North Wales",Wales,1,Bouldering
"Lily Savage",V8,"Sent x",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"The Cannon",f7A,"Sent x",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Daniel Radcliffe",f6C+,"Sent β",,,03/May/25,"Afon Lloer Boulders",Gwynedd,"North Wales",Wales,1,Bouldering
"Ultimate Warrior",f7B+,"Sent β",,,03/May/25,"Pont Gyfyng, Cwm Pennant",Gwynedd,"North Wales",Wales,1,Bouldering
"Giant Jenga",f7B+,"Sent x",,,01/May/25,"Dunnerdale Boulders",Cumbria,"Northern England",England,1,Bouldering
Wilding,f7B,"Sent x",,,01/May/25,"Dunnerdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Wood Elf Dyno",f7A,"Sent β",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Clash of the Wood Elves",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"The Angry Pixie",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"In the Ghetto",f7A,"Sent x",,,30/Apr/25,"Miterdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Gimme Shelter",f7A,"Sent x",,,29/Apr/25,"Mardale Head Boulders",Cumbria,"Northern England",England,1,Bouldering
Reverence,f7A+,"Sent β",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"Runs on Weasel",f7B,"Sent x",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"The Whole Hole",f7B,"Sent x",,,22/Apr/25,"Kentmere Boulders",Cumbria,"Northern England",England,1,Bouldering
"Tau Zero",f7C,"Sent x",,,20/Apr/25,"Sour Milk Boulders",Cumbria,"Northern England",England,1,Bouldering
"Saturn V",f7A+,"Sent x",,,20/Apr/25,"Sour Milk Boulders",Cumbria,"Northern England",England,1,Bouldering
"Stefan Grossman",V9,"Sent x",,,19/Apr/25,"Langdale Boulders",Cumbria,"Northern England",England,1,Bouldering
"Zippy's Traverse",f7B,"Sent x",,,17/Apr/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
Resonate,f7C,"Sent x",,,17/Apr/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
Shit,f7B+,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
Piss,f7B,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
Hemline,f7A+,"Sent x",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Witness The Gritness",f7A,"Sent β",,,15/Apr/25,"Higgar Tor","South Yorkshire","The Peak Area",England,1,Bouldering
"Foxy Lady",f8A,"Sent x",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Höhenrausch,f7B+,"Sent β",,,09/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
"Jack the Chipper",f7C,"Sent β",,,05/Apr/25,"Averstal (Magic Wood)","Graubünden (Grisons)",East,Switzerland,1,Bouldering
Bubaroff,f7B,"Sent x",,,04/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
Wanted,f7C+,"Sent x",,,01/Apr/25,Brione,Ticino,Central,Switzerland,1,Bouldering
"Sean's problem (with heel-toe)",f7B,"Sent x",,"No campus, no heel toe",21/Mar/25,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
Bullet,f7C,"Sent x",,,18/Mar/25,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Roof of the World - Undercut Start",V6,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Cream Egg Eliminate",f7A,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Slapstick Arete",f7A+,"Sent x",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Pedestal Arete",f7A+,"Sent β",,,16/Mar/25,"Caley Crags","West Yorkshire","Yorkshire & Lincolnshire",England,1,Bouldering
"Spur Traverse",f7A,"Sent x",,,10/Mar/25,"Stanage Plantation",Derbyshire,"The Peak Area",England,1,Bouldering
"The Cave Problem",f7A,"Sent x",,,09/Mar/25,"Robin Hood's Stride",Derbyshire,"The Peak Area",England,1,Bouldering
